,question,Exactitude,Pertinence,Hallucination
0,Comment obtenir un acte de naissance ?,,,
1,Quels sont les horaires de la déchetterie ?,,,
2,Comment s'inscrire sur les listes électorales ?,,,
3,Comment demander un permis de construire ?,,,
4,Quels déchets mettre dans le bac jaune ?,,,
5,Comment faire une procuration pour voter ?,,,
6,Comment inscrire mon enfant à la crèche ?,,,
7,Comment créer une association loi 1901 ?,,,
8,Comment obtenir la carte mobilité inclusion ?,,,
9,Quels sont les tarifs de la cantine scolaire ?,,,
10,"Je voudrais un extrait de naissance, comment faire ?",,,
11,C'est quoi les jours de ramassage des poubelles ?,,,
12,On peut jeter quoi dans la poubelle de recyclage ?,,,
13,"J'ai perdu mon permis de conduire, que dois-je faire ?",,,
14,"Je déménage, comment prévenir les impôts ?",,,
15,"Ma fille a 3 ans, je dois l'inscrire à la maternelle ?",,,
16,"Je veux vendre ma voiture, il me faut quoi comme papier de non-gage ?",,,
17,Il y a des bus qui passent par chez nous ? Où voir les horaires ?,,,
18,"Mon voisin a une fuite d'eau dans la rue, qui appeler ?",,,
19,"Pour le mariage civil, c'est quoi la liste des papiers à donner ?",,,
20,Quelle est la capitale de l'Australie ?,,,
21,Comment faire une tarte aux pommes ?,,,
22,Quel est le meilleur smartphone en 2025 ?,,,
23,Comment investir en bourse ?,,,
24,Qui a gagné la coupe du monde de football en 1998 ?,,,
25,"Je viens d'avoir un bébé et je ne suis pas mariée avec le père, quelles démarches dois-je faire ?",,,
26,"Je construis une maison avec piscine, quelles autorisations me faut-il ?",,,
27,"Je suis en difficulté financière, je n'arrive plus à payer mes factures d'eau et d'électricité, qui peut m'aider ?",,,
28,"Mon association veut organiser un vide-grenier sur la place du village, comment faire ?",,,
29,"J'emménage dans la commune, quelles sont toutes les démarches administratives à faire ?",,,
